,0,1,2
0,0.0629,0.0636,0.064
1,0.063,0.0631,0.0622
2,0.0628,0.0631,0.0633
3,0.0634,0.063,0.0631
4,0.0619,0.0628,0.063
5,0.0613,0.0629,0.0634
6,0.063,0.0639,0.0625
7,0.0628,0.0627,0.0622
8,0.0623,0.0626,0.0633
9,0.0631,0.0631,0.0633
10,0.0635,0.063,0.0638
11,0.0623,0.063,0.063
12,0.0635,0.0631,0.063
13,0.0645,0.064,0.0631
14,0.0619,0.0644,0.0632
15,0.0631,0.0627,0.063
16,0.0616,0.0623,0.0631
17,0.063,0.063,0.0626
18,0.0636,0.0631,0.0629
19,0.064,0.0635,0.0629
20,0.0628,0.0625,0.0616
21,0.0615,0.0625,0.0619
22,0.063,0.0632,0.063
23,0.0635,0.0629,0.0635
24,0.0623,0.0629,0.063
